"data","Atual","Projeção","Anterior"
"30.05.2025","","","49"
"29.04.2025","49","49,7","50,5"
"30.03.2025","50,5","50,4","50,2"
"28.02.2025","50,2","50","49,1"
"26.01.2025","49,1","50,1","50,1"
"30.12.2024","50,1","50,3","50,3"
"29.11.2024","50,3","50,2","50,1"
"30.10.2024","50,1","49,8","49,8"
"29.09.2024","49,8","49,4","49,1"
"30.08.2024","49,1","49,5","49,4"
"30.07.2024","49,4","49,4","49,5"
"29.06.2024","49,5","49,5","49,5"
"30.05.2024","49,5","50,5","50,4"
"29.04.2024","50,4","50,3","50,8"
"30.03.2024","50,8","50,1","49,1"
"29.02.2024","49,1","49,1","49,2"
"30.01.2024","49,2","49,2","49"
"30.12.2023","49","49,5","49,4"
"29.11.2023","49,4","49,7","49,5"
"30.10.2023","49,5","50,2","50,2"
"29.09.2023","50,2","50,2","49,7"
"30.08.2023","49,7","49,4","49,3"
"30.07.2023","49,3","49,2","49"
"29.06.2023","49","49","48,8"
"30.05.2023","48,8","51,4","49,2"
"29.04.2023","49,2","51,4","51,9"
"30.03.2023","51,9","51,5","52,6"
"28.02.2023","52,6","50,5","50,1"
"30.01.2023","50,1","49,8","47"
"30.12.2022","47","48","48"
"29.11.2022","48","49","49,2"
"30.10.2022","49,2","50","50,1"
"29.09.2022","50,1","49,6","49,4"
"30.08.2022","49,4","49,2","49"
"30.07.2022","49","50,4","50,2"
"29.06.2022","50,2","50,5","49,6"
"30.05.2022","49,6","48","47,4"
"29.04.2022","47,4","48","49,5"
"30.03.2022","49,5","49,9","50,2"
"28.02.2022","50,2","49,9","50,1"
"29.01.2022","50,1","50","50,3"
"30.12.2021","50,3","50","50,1"
"29.11.2021","50,1","49,6","49,2"
"30.10.2021","49,2","49,7","49,6"
"29.09.2021","49,6","50,1","50,1"
"30.08.2021","50,1","50,2","50,4"
"30.07.2021","50,4","50,8","50,9"
"29.06.2021","50,9","50,8","51"
"30.05.2021","51","51,1","51,1"
"29.04.2021","51,1","51,7","51,9"
"30.03.2021","51,9","51","50,6"
"28.02.2021","50,6","51,1","51,3"
"30.01.2021","51,3","51,6","51,9"
"30.12.2020","51,9","52","52,1"
"29.11.2020","52,1","51,5","51,4"
"30.10.2020","51,4","51,3","51,5"
"29.09.2020","51,5","51,2","51"
"30.08.2020","51","51,2","51,1"
"30.07.2020","51,1","50,7","50,9"
"29.06.2020","50,9","50,4","50,6"
"30.05.2020","50,6","51","50,8"
