"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"15.05.2025","7,2073","7,2105","7,2171","7,2052","---","-0,02%"
"14.05.2025","7,2085","7,2024","7,219","7,2012","---","0,03%"
"13.05.2025","7,2064","7,1935","7,2064","7,1867","---","0,05%"
"12.05.2025","7,2029","7,2282","7,2303","7,2009","---","-0,47%"
"09.05.2025","7,237","7,2436","7,2521","7,2367","---","0,03%"
"08.05.2025","7,2348","7,2363","7,2416","7,2325","---","0,13%"
"07.05.2025","7,2253","7,2195","7,233","7,2195","---","0,11%"
"06.05.2025","7,2171","7,2359","7,2388","7,211","---","-0,75%"
"05.05.2025","7,2714","7,2714","7,2714","7,2714","---","0%"
"02.05.2025","7,2714","7,2714","7,2714","7,2714","---","0%"
"01.05.2025","7,2714","7,2714","7,2714","7,2714","---","0%"
"30.04.2025","7,2714","7,2757","7,277","7,2614","---","0,03%"
"29.04.2025","7,2695","7,2875","7,2888","7,2596","---","-0,35%"
"28.04.2025","7,2947","7,2906","7,3008","7,2906","---","0,1%"
"25.04.2025","7,2877","7,2941","7,298","7,283","---","-0,01%"
"24.04.2025","7,2884","7,2947","7,3014","7,2863","---","0,02%"
"23.04.2025","7,287","7,3036","7,3086","7,2858","---","-0,35%"
"22.04.2025","7,3123","7,3019","7,3146","7,301","---","0,29%"
"21.04.2025","7,2914","7,292","7,2964","7,2826","---","-0,11%"
"18.04.2025","7,2995","7,3029","7,3053","7,287","---","0,01%"
"17.04.2025","7,299","7,3123","7,3137","7,2941","---","-0,09%"
"16.04.2025","7,3053","7,3254","7,3289","7,3015","---","-0,13%"
"15.04.2025","7,3151","7,3087","7,318","7,3055","---","0,04%"
"14.04.2025","7,3119","7,3059","7,3139","7,2993","---","0,28%"
"11.04.2025","7,2916","7,3074","7,3259","7,2921","---","-0,31%"
"10.04.2025","7,314","7,3509","7,3511","7,3145","---","-0,49%"
"09.04.2025","7,3499","7,3461","7,3501","7,3461","---","0,15%"
"08.04.2025","7,3388","7,3361","7,3389","7,3272","---","0,42%"
"07.04.2025","7,3081","7,3072","7,3182","7,3039","---","0,37%"
"04.04.2025","7,2813","7,2813","7,2813","7,2813","---","0%"
"03.04.2025","7,2813","7,2978","7,3047","7,2821","---","0,19%"
"02.04.2025","7,2675","7,2714","7,272","7,267","---","-0,03%"
"01.04.2025","7,2697","7,2606","7,2703","7,2603","---","0,18%"
"31.03.2025","7,2567","7,2577","7,2589","7,2473","---","-0,08%"
"28.03.2025","7,2628","7,2631","7,2661","7,2614","---","-0,02%"
"27.03.2025","7,2645","7,2645","7,2682","7,2598","---","-0,04%"
"26.03.2025","7,2675","7,2611","7,2683","7,2611","---","0,15%"
"25.03.2025","7,2569","7,2631","7,2639","7,2567","---","0,05%"
"24.03.2025","7,2531","7,2578","7,2607","7,2509","---","0,06%"
"21.03.2025","7,2486","7,2504","7,2534","7,2448","---","0,01%"
"20.03.2025","7,2477","7,2278","7,2487","7,2251","---","0,24%"
"19.03.2025","7,2301","7,2317","7,2383","7,2297","---","0,04%"
"18.03.2025","7,2273","7,2306","7,2363","7,2217","---","-0,07%"
"17.03.2025","7,2327","7,2276","7,2412","7,2236","---","-0,07%"
"14.03.2025","7,2377","7,2503","7,2514","7,2289","---","-0,09%"
"13.03.2025","7,2439","7,2381","7,2479","7,23","---","0,09%"
"12.03.2025","7,2371","7,2196","7,2486","7,2161","---","0,13%"
"11.03.2025","7,2278","7,2569","7,2599","7,226","---","-0,43%"
"10.03.2025","7,2591","7,2431","7,2655","7,2426","---","0,35%"
"07.03.2025","7,234","7,2509","7,2532","7,2275","---","-0,18%"
"06.03.2025","7,2468","7,2417","7,2508","7,2356","---","-0,05%"
"05.03.2025","7,2506","7,2667","7,273","7,2516","---","-0,2%"
"04.03.2025","7,2651","7,288","7,289","7,2571","---","-0,26%"
"03.03.2025","7,2843","7,2826","7,2935","7,2794","---","0,02%"
"28.02.2025","7,2828","7,2897","7,291","7,2783","---","-0,03%"
"27.02.2025","7,2853","7,264","7,2872","7,2595","---","0,36%"
"26.02.2025","7,2595","7,2518","7,2619","7,2513","---","0,11%"
"25.02.2025","7,2512","7,2606","7,2661","7,252","---","0,05%"
"24.02.2025","7,2476","7,2487","7,2522","7,2288","---","-0,03%"
"21.02.2025","7,2501","7,2563","7,2574","7,2372","---","-0,07%"
"20.02.2025","7,2555","7,2838","7,2838","7,2563","---","-0,38%"
"19.02.2025","7,2833","7,28","7,2867","7,28","---","0,06%"
"18.02.2025","7,2786","7,2685","7,2827","7,2685","---","0,22%"
"17.02.2025","7,2629","7,248","7,2651","7,2442","---","0,14%"
"14.02.2025","7,253","7,2788","7,2901","7,2531","---","-0,49%"
"13.02.2025","7,2888","7,3082","7,3084","7,283","---","-0,27%"
"12.02.2025","7,3088","7,3086","7,3098","7,3074","---","0,02%"
"11.02.2025","7,3072","7,3085","7,3087","7,304","---","0,04%"
"10.02.2025","7,3045","7,3028","7,3088","7,3027","---","0,22%"
"07.02.2025","7,2882","7,2878","7,2908","7,2827","---","0%"
"06.02.2025","7,2883","7,2777","7,2936","7,2725","---","0,22%"
"05.02.2025","7,272","7,2779","7,2859","7,2677","---","0,29%"
"04.02.2025","7,2507","7,2507","7,2507","7,2507","---","0%"
"03.02.2025","7,2507","7,2507","7,2507","7,2507","---","0%"
"31.01.2025","7,2507","7,2507","7,2507","7,2507","---","0%"
"30.01.2025","7,2507","7,2507","7,2507","7,2507","---","0%"
"29.01.2025","7,2507","7,2507","7,2507","7,2507","---","0%"
"28.01.2025","7,2507","7,2507","7,2507","7,2507","---","0%"
"27.01.2025","7,2507","7,2549","7,2676","7,2514","---","0,09%"
"24.01.2025","7,244","7,2885","7,2885","7,2376","---","-0,6%"
"23.01.2025","7,288","7,2732","7,2887","7,2721","---","0,21%"
"22.01.2025","7,2728","7,2717","7,2832","7,2648","---","0,02%"
"21.01.2025","7,2712","7,2716","7,2869","7,2648","---","-0,41%"
"20.01.2025","7,301","7,3228","7,3239","7,3018","---","-0,33%"
"17.01.2025","7,3249","7,3308","7,3312","7,3239","---","-0,09%"
"16.01.2025","7,3316","7,331","7,3318","7,3306","---","0,02%"
"15.01.2025","7,3304","7,331","7,332","7,3295","---","-0,01%"
"14.01.2025","7,3311","7,3306","7,3313","7,328","---","-0,01%"
"13.01.2025","7,3319","7,331","7,3321","7,3306","---","-0,01%"
"10.01.2025","7,3326","7,3306","7,3328","7,33","---","0,01%"
"09.01.2025","7,3321","7,3307","7,3322","7,3296","---","0,01%"
"08.01.2025","7,3316","7,329","7,3318","7,329","---","0,07%"
"07.01.2025","7,3264","7,3275","7,3292","7,3222","---","0,06%"
"06.01.2025","7,3223","7,3176","7,3299","7,3123","---","0,03%"
"03.01.2025","7,3199","7,2989","7,3207","7,2989","---","0,28%"
"02.01.2025","7,2994","7,2983","7,2994","7,2979","---","0%"
"01.01.2025","7,2996","7,3001","7,3001","7,3001","---","0%"
"31.12.2024","7,2993","7,2977","7,2996","7,2938","---","0%"
"30.12.2024","7,2993","7,2977","7,2993","7,2973","---","0,02%"
"27.12.2024","7,298","7,2983","7,2993","7,2965","---","0%"
"26.12.2024","7,2981","7,2978","7,2993","7,2978","---","0,01%"
"25.12.2024","7,2975","7,2963","7,2993","7,2963","---","0,04%"
"24.12.2024","7,2946","7,2984","7,299","7,2952","---","-0,05%"
"23.12.2024","7,2983","7,2923","7,2993","7,2923","---","0,03%"
"20.12.2024","7,2961","7,2936","7,2994","7,2936","---","-0,01%"
"19.12.2024","7,2965","7,2964","7,2994","7,2958","---","0,14%"
"18.12.2024","7,2864","7,2835","7,2869","7,2811","---","0,02%"
"17.12.2024","7,2846","7,2856","7,287","7,2791","---","0,01%"
"16.12.2024","7,2836","7,2744","7,2845","7,2727","---","0,11%"
"13.12.2024","7,2756","7,2734","7,2822","7,2733","---","0,1%"
"12.12.2024","7,2685","7,2588","7,2705","7,2573","---","0,11%"
"11.12.2024","7,2605","7,2481","7,273","7,2415","---","0,14%"
"10.12.2024","7,25","7,2599","7,2639","7,2386","---","-0,14%"
"09.12.2024","7,2604","7,2735","7,2805","7,2607","---","-0,13%"
"06.12.2024","7,27","7,2624","7,2713","7,2527","---","0,15%"
"05.12.2024","7,2592","7,2677","7,2754","7,26","---","-0,06%"
"04.12.2024","7,2632","7,2804","7,2829","7,2625","---","-0,31%"
"03.12.2024","7,2858","7,2856","7,2972","7,2782","---","0,2%"
"02.12.2024","7,2714","7,2528","7,2743","7,2528","---","0,4%"
"29.11.2024","7,2423","7,2345","7,2439","7,2268","---","-0,02%"
"28.11.2024","7,244","7,2404","7,2532","7,2389","---","-0,02%"
"27.11.2024","7,2458","7,2483","7,2584","7,2449","---","-0,09%"
"26.11.2024","7,252","7,2513","7,2593","7,2481","---","0,17%"
"25.11.2024","7,2395","7,2389","7,247","7,238","---","-0,08%"
"22.11.2024","7,2455","7,2459","7,2498","7,2443","---","0,12%"
"21.11.2024","7,2368","7,2429","7,2434","7,2362","---","-0,13%"
"20.11.2024","7,2459","7,2382","7,2469","7,238","---","0,1%"
"19.11.2024","7,2385","7,2316","7,2442","7,2301","---","0,03%"
"18.11.2024","7,2364","7,2334","7,2456","7,2305","---","0,08%"
"15.11.2024","7,2309","7,235","7,2417","7,226","---","0,05%"
"14.11.2024","7,2272","7,2358","7,2467","7,2284","---","0,04%"
"13.11.2024","7,2245","7,2227","7,2297","7,2061","---","-0,1%"
"12.11.2024","7,232","7,2196","7,2418","7,218","---","0,25%"
"11.11.2024","7,2139","7,179","7,215","7,176","---","0,49%"
"08.11.2024","7,1785","7,1526","7,179","7,1403","---","0,52%"
"07.11.2024","7,1412","7,1837","7,187","7,1412","---","-0,52%"
"06.11.2024","7,1782","7,1294","7,1796","7,1223","---","1,03%"
"05.11.2024","7,1047","7,1086","7,111","7,1015","---","0,07%"
"04.11.2024","7,0995","7,109","7,1153","7,0866","---","-0,31%"
"01.11.2024","7,1214","7,1143","7,1274","7,111","---","0,05%"
"31.10.2024","7,1178","7,1199","7,1256","7,1142","---","0,04%"
"30.10.2024","7,115","7,1257","7,1367","7,1155","---","-0,21%"
"29.10.2024","7,1301","7,1315","7,1431","7,1286","---","0,07%"
"28.10.2024","7,1254","7,1332","7,1353","7,1255","---","0,08%"
"25.10.2024","7,1199","7,1171","7,1274","7,116","---","0,01%"
"24.10.2024","7,1194","7,1221","7,123","7,1107","---","-0,08%"
"23.10.2024","7,1252","7,1309","7,1338","7,1248","---","0,03%"
"22.10.2024","7,123","7,1224","7,1255","7,1196","---","0,06%"
"21.10.2024","7,1189","7,1041","7,1202","7,0985","---","0,25%"
"18.10.2024","7,1015","7,1192","7,1256","7,1008","---","-0,31%"
"17.10.2024","7,1236","7,1215","7,1277","7,116","---","0,06%"
"16.10.2024","7,1192","7,1224","7,1245","7,1118","---","0%"
"15.10.2024","7,1194","7,0879","7,1215","7,0876","---","0,46%"
"14.10.2024","7,087","7,0795","7,0894","7,0737","---","0,29%"
"11.10.2024","7,0666","7,0746","7,0785","7,0634","---","-0,18%"
"10.10.2024","7,079","7,0745","7,0817","7,0623","---","-0,01%"
"09.10.2024","7,08","7,0675","7,0821","7,0548","---","0,29%"
"08.10.2024","7,0595","7,0507","7,0812","7,0484","---","0,6%"
"07.10.2024","7,0176","7,0176","7,0176","7,0176","---","0%"
"04.10.2024","7,0176","7,0176","7,0176","7,0176","---","0%"
"03.10.2024","7,0176","7,0176","7,0176","7,0176","---","0%"
"02.10.2024","7,0176","7,0176","7,0176","7,0176","---","0%"
"01.10.2024","7,0176","7,0176","7,0176","7,0176","---","0%"
"30.09.2024","7,0176","7,0157","7,0192","7,0114","---","0,09%"
"27.09.2024","7,011","7,0161","7,0192","7,0111","---","0,01%"
"26.09.2024","7,0106","7,0313","7,0313","7,0109","---","-0,3%"
"25.09.2024","7,0315","7,0211","7,0322","7,0161","---","0%"
"24.09.2024","7,0318","7,0558","7,0634","7,0318","---","-0,27%"
"23.09.2024","7,0508","7,0462","7,0608","7,0446","---","0%"
"20.09.2024","7,0505","7,0588","7,0627","7,0427","---","-0,24%"
"19.09.2024","7,0675","7,1034","7,109","7,0604","---","-0,19%"
"18.09.2024","7,0812","7,0956","7,1","7,0791","---","-0,17%"
"17.09.2024","7,093","7,093","7,093","7,093","---","0%"
"16.09.2024","7,093","7,093","7,093","7,093","---","0%"
"13.09.2024","7,093","7,1074","7,1114","7,0904","---","-0,34%"
"12.09.2024","7,1172","7,123","7,1245","7,1158","---","-0,03%"
"11.09.2024","7,1192","7,1224","7,1224","7,1077","---","-0,02%"
"10.09.2024","7,1205","7,1186","7,1253","7,1172","---","0,1%"
"09.09.2024","7,1133","7,1075","7,1171","7,1061","---","0,36%"
"06.09.2024","7,0876","7,0874","7,0965","7,0816","---","-0,06%"
"05.09.2024","7,0921","7,1013","7,1036","7,088","---","-0,28%"
"04.09.2024","7,1119","7,1132","7,1177","7,1073","---","-0,13%"
"03.09.2024","7,1209","7,1196","7,1252","7,1142","---","0,05%"
"02.09.2024","7,117","7,0971","7,1192","7,0957","---","0,38%"
"30.08.2024","7,09","7,0915","7,1014","7,0849","---","-0,1%"
"29.08.2024","7,0972","7,1289","7,1315","7,0916","---","-0,38%"
"28.08.2024","7,1245","7,124","7,1353","7,1222","---","0%"
"27.08.2024","7,1244","7,1253","7,1318","7,121","---","0,04%"
"26.08.2024","7,1212","7,1146","7,1242","7,1139","---","-0,04%"
"23.08.2024","7,1244","7,1441","7,147","7,1206","---","-0,27%"
"22.08.2024","7,144","7,1326","7,1456","7,1308","---","0,13%"
"21.08.2024","7,1344","7,1325","7,1388","7,1262","---","0,03%"
"20.08.2024","7,132","7,1337","7,1502","7,1316","---","-0,1%"
"19.08.2024","7,1393","7,1493","7,1561","7,1319","---","-0,35%"
"16.08.2024","7,1644","7,1781","7,1789","7,1617","---","-0,13%"
"15.08.2024","7,1734","7,1609","7,177","7,1536","---","0,49%"
"14.08.2024","7,1382","7,1473","7,1541","7,1354","---","-0,24%"
"13.08.2024","7,1551","7,1797","7,1827","7,153","---","-0,27%"
"12.08.2024","7,1744","7,1733","7,1826","7,1714","---","0,12%"
"09.08.2024","7,166","7,1778","7,1793","7,1643","---","-0,12%"
"08.08.2024","7,1747","7,1777","7,1798","7,1558","---","-0,02%"
"07.08.2024","7,176","7,1714","7,1866","7,1714","---","0,28%"
"06.08.2024","7,1563","7,1616","7,1616","7,1421","---","0,37%"
"05.08.2024","7,13","7,1507","7,1561","7,116","---","-0,42%"
"02.08.2024","7,16","7,2445","7,2467","7,1569","---","-1,16%"
"01.08.2024","7,2441","7,2125","7,2486","7,2099","---","0,34%"
"31.07.2024","7,2193","7,2291","7,2402","7,2151","---","-0,44%"
"30.07.2024","7,2511","7,2634","7,2649","7,2479","---","-0,12%"
"29.07.2024","7,2597","7,2529","7,2607","7,2512","---","0,13%"
"26.07.2024","7,2502","7,241","7,2549","7,2309","---","0,27%"
"25.07.2024","7,231","7,2617","7,2639","7,2109","---","-0,43%"
"24.07.2024","7,2625","7,2755","7,2775","7,2627","---","-0,17%"
"23.07.2024","7,2748","7,273","7,2748","7,2727","---","0,02%"
"22.07.2024","7,2736","7,2736","7,274","7,2708","---","0,06%"
"19.07.2024","7,2695","7,2661","7,2698","7,2652","---","0,13%"
"18.07.2024","7,26","7,2569","7,2616","7,2524","---","-0,01%"
"17.07.2024","7,2607","7,269","7,2691","7,2526","---","-0,11%"
"16.07.2024","7,2685","7,2645","7,2687","7,2645","---","0,13%"
"15.07.2024","7,2592","7,2614","7,2639","7,2581","---","0,13%"
"12.07.2024","7,25","7,2607","7,265","7,2491","---","-0,1%"
"11.07.2024","7,2576","7,2748","7,275","7,2496","---","-0,25%"
"10.07.2024","7,2759","7,2749","7,2762","7,2749","---","0,05%"
"09.07.2024","7,2725","7,271","7,2726","7,271","---","0,06%"
"08.07.2024","7,2683","7,2667","7,2702","7,2667","---","0%"
"05.07.2024","7,268","7,266","7,2698","7,2653","---","0,02%"
"04.07.2024","7,2668","7,2705","7,2717","7,2677","---","-0,04%"
"03.07.2024","7,2699","7,2726","7,2736","7,2682","---","-0,02%"
"02.07.2024","7,2712","7,2701","7,2714","7,2701","---","0,04%"
"01.07.2024","7,2683","7,2673","7,2684","7,267","---","0,02%"
"28.06.2024","7,2672","7,2675","7,2682","7,2624","---","-0,02%"
"27.06.2024","7,2688","7,2673","7,2689","7,267","---","0,03%"
"26.06.2024","7,2666","7,2649","7,2667","7,2649","---","0,05%"
"25.06.2024","7,2629","7,2607","7,2629","7,2586","---","0,06%"
